car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,registered_city,registered_state,is_hot,make,model,total_owners,broker_quote,original_price,car_rating,ad_created_on,booking_down_pymnt,reserved,warranty_avail
maruti swift,2015,petrol,8063,386399,noida,18715,hatchback,manual,lxi opt,delhi,delhi,True,maruti,swift,0,397677,404177.0,great,2021-04-04T07:09:18.583,57960,False,False
maruti alto 800,2016,petrol,23104,265499,noida,2676,hatchback,manual,lxi,noida,uttar pradesh,True,maruti,alto 800,1,272935,354313.0,great,2021-03-22T14:07:32.833,39825,False,False
hyundai grand i10,2017,petrol,23402,477699,noida,609,hatchback,manual,sports 1.2 vtvt,agra,uttar pradesh,True,hyundai,grand i10,1,469605,,great,2021-03-20T05:36:31.311,71655,False,False
maruti swift,2013,diesel,39124,307999,noida,6511,hatchback,manual,vdi,delhi,delhi,True,maruti,swift,1,294262,374326.0,great,2021-01-21T12:59:19.299,46200,False,False
hyundai grand i10,2015,petrol,22116,361499,noida,3225,hatchback,manual,magna 1.2 vtvt,new delhi,delhi,True,hyundai,grand i10,1,360716,367216.0,great,2021-04-01T13:33:40.733,54225,False,False
maruti alto k10,2018,petrol,23534,335299,noida,1055,hatchback,,vxi (o) amt,delhi,delhi,True,maruti,alto k10,1,343212,439056.0,great,2021-04-13T05:55:16.99,50295,False,False
maruti ritz,2012,diesel,41213,281999,noida,909,hatchback,manual,vdi,delhi,delhi,True,maruti,ritz,1,201200,,great,2020-12-29T07:26:25.321,42300,False,False
hyundai i20,2012,petrol,38328,321499,noida,2760,hatchback,manual,asta 1.2,noida,uttar pradesh,True,hyundai,i20,3,319200,410764.0,great,2021-02-25T15:47:30.3,48225,False,False
hyundai elite i20,2014,diesel,56402,456199,noida,2475,hatchback,manual,magna 1.4 crdi,noida,uttar pradesh,True,hyundai,elite i20,1,452023,566123.0,great,2021-03-13T11:57:25.71,68430,False,False
renault kwid,2018,petrol,32703,281299,noida,2497,hatchback,manual,rxl,noida,uttar pradesh,True,renault,kwid,1,264597,344127.0,great,2021-03-20T06:52:56.488,42195,False,False
maruti alto 800,2014,petrol,53180,206899,noida,1446,hatchback,manual,lxi,delhi,delhi,True,maruti,alto 800,1,200605,207105.0,great,2021-03-06T12:05:47.307,31035,False,False
hyundai i10,2008,petrol,44219,194699,noida,1798,hatchback,manual,sportz 1.2,gurgaon,haryana,True,hyundai,i10,1,153600,,good,2021-03-08T05:26:08.476,29205,False,False
hyundai i20,2012,diesel,55764,287999,noida,3115,hatchback,manual,sportz 1.4 crdi,new delhi,delhi,True,hyundai,i20,2,275325,356231.0,great,2020-11-26T12:49:17.841,43200,False,False
honda brio,2012,petrol,58581,235699,noida,1752,hatchback,manual,1.2 v mt i vtec,ghaziabad,uttar pradesh,True,honda,brio,1,234607,307559.0,great,2021-01-29T14:39:17.138,35355,False,False
hyundai i10,2011,petrol,49761,207499,noida,2226,hatchback,manual,magna 1.2 kappa2,delhi,delhi,True,hyundai,i10,1,188721,,good,2021-03-13T06:18:55.598,31125,False,False
honda city,2010,petrol,63808,304199,noida,2493,sedan,manual,s mt petrol,noida,uttar pradesh,True,honda,city,1,281400,364648.0,great,2020-12-27T14:53:33.956,45630,False,False
hyundai i10,2011,petrol,70126,217599,noida,2450,hatchback,manual,sportz 1.2 kappa2,delhi,delhi,True,hyundai,i10,0,216800,284836.0,great,2021-02-17T06:03:10.471,32640,False,False
hyundai eon,2013,petrol,49817,216899,noida,1498,hatchback,manual,d lite plus,panchkula,haryana,True,hyundai,eon,1,201155,,great,2021-03-08T04:48:39.244,32535,False,False
maruti swift,2015,diesel,62806,396499,noida,2965,hatchback,manual,vdi abs,noida,uttar pradesh,True,maruti,swift,1,409866,515526.0,great,2021-01-20T10:00:06.134,59475,False,False
honda brio,2015,petrol,58396,347399,noida,620,hatchback,manual,1.2 s mt i vtec,delhi,delhi,True,honda,brio,2,327940,405581.0,great,2021-03-05T12:10:44.155,52110,False,False
hyundai eon,2014,petrol,59559,209799,noida,2216,hatchback,manual,era plus,ghaziabad,uttar pradesh,True,hyundai,eon,1,205754,272348.0,great,2021-03-06T10:06:00.723,31470,False,False
hyundai verna,2012,diesel,68355,398799,noida,1960,sedan,manual,fluidic 1.6 sx crdi,gurgaon,haryana,True,hyundai,verna,1,367000,467580.0,great,2020-11-07T11:57:50.298,59820,False,False
maruti ritz,2010,petrol,82078,207099,noida,881,hatchback,manual,vxi bs iv,delhi,delhi,True,maruti,ritz,1,193591,257586.0,great,2021-01-17T13:23:41.123,31065,False,False
maruti swift,2013,diesel,66350,318399,noida,779,hatchback,manual,vdi,delhi,delhi,True,maruti,swift,1,307404,,great,2021-02-27T09:21:37.457,47760,False,False
maruti alto,2010,petrol,56231,180999,noida,1161,hatchback,manual,lxi,meerut,uttar pradesh,True,,alto,2,154164,,good,2021-03-22T08:37:14.385,27150,False,False
hyundai i20,2010,petrol,72985,227699,noida,1505,hatchback,manual,magna o 1.2,gurgaon,haryana,True,hyundai,i20,1,212540,,great,2021-03-08T06:41:26.768,34155,False,False
hyundai santro xing,2009,petrol,79244,164899,noida,2030,hatchback,manual,gls,delhi,delhi,True,hyundai,santro xing,1,129230,177150.0,good,2021-04-02T08:00:38.203,24735,False,False
maruti swift,2014,petrol,71876,389699,noida,1151,hatchback,manual,vxi,delhi,delhi,True,maruti,swift,1,377352,480698.0,great,2021-02-14T09:10:39.375,58455,False,False
maruti swift dzire,2011,petrol,90479,224299,noida,2775,sedan,manual,vxi 1.2 bs iv,faridabad,haryana,True,maruti,swift dzire,1,214978,282096.0,great,2021-02-13T07:08:20.781,33645,False,False
ford ecosport,2013,diesel,66940,397199,noida,3986,suv,manual,1.5 trend tdci,faridabad,haryana,True,ford,ecosport,1,383822,472084.0,great,2020-12-19T19:30:14.208,59580,False,False
maruti swift dzire,2013,diesel,80394,332499,noida,1491,sedan,manual,vdi bs iv,noida,uttar pradesh,True,maruti,swift dzire,1,317758,408992.0,great,2021-01-02T13:50:44.533,49875,False,False
maruti swift dzire,2012,diesel,77954,306899,noida,748,sedan,manual,vdi bs iv,new delhi,delhi,True,maruti,swift dzire,2,297766,369669.0,great,2020-11-28T13:29:53.108,46035,False,False
nissan sunny,2012,petrol,82364,287099,noida,1537,sedan,manual,xl petrol,delhi,delhi,True,nissan,sunny,1,255552,332102.0,great,2021-02-28T15:29:08.377,43065,False,False
hyundai xcent,2014,diesel,66743,276299,noida,1339,sedan,manual,s 1.1 crdi,delhi,delhi,True,hyundai,xcent,1,252792,,great,2021-03-11T10:48:40.296,41445,False,False
maruti ritz,2012,diesel,114402,228699,noida,491,hatchback,manual,vdi,new delhi,delhi,True,maruti,ritz,1,217015,,great,2021-03-14T08:07:12.544,34305,False,False
hyundai i20,2012,diesel,83767,244399,noida,4003,hatchback,manual,magna o 1.4 crdi,noida,uttar pradesh,True,hyundai,i20,1,253021,330021.0,great,2021-01-29T13:16:00.032,36660,False,False
toyota etios liva,2012,diesel,87914,266299,noida,606,hatchback,manual,d 4d gd,delhi,delhi,True,toyota,etios liva,1,269200,348764.0,great,2020-12-20T19:30:04.2,39945,False,False
